subjectGroup,button1,button2,train_test,dist,F0_step,VOT_step,response,id,word_identified,voiced_voiceless,place,F0_level,response_num
4,bale,pail,1,reversed,1,5,1,1,bale,voiced,bilabial,low,0
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,2,1,bale,voiced,bilabial,low,0
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,1,1,bale,voiced,bilabial,high,0
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,2,1,bale,voiced,bilabial,high,0
4,bale,pail,1,reversed,9,5,1,1,bale,voiced,bilabial,high,0
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,1,1,bale,voiced,bilabial,low,0
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,1,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,1,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,2,2,bale,voiced,bilabial,low,0
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,2,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,1,2,bale,voiced,bilabial,low,0
4,pail,bale,1,reversed,1,5,1,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,2,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,2,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,2,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,2,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,2,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,1,5,1,2,bale,voiced,bilabial,low,0
4,bale,pail,1,reversed,1,5,2,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,2,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,9,5,1,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,2,2,pail,voiceless,bilabial,low,1
4,pail,bale,1,reversed,1,5,1,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,1,5,1,2,bale,voiced,bilabial,low,0
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,1,2,bale,voiced,bilabial,high,0
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,1,2,pail,voiceless,bilabial,low,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,1,5,2,2,bale,voiced,bilabial,low,0
4,pail,bale,1,reversed,1,5,2,2,bale,voiced,bilabial,low,0
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
4,pail,bale,1,reversed,9,5,1,2,pail,voiceless,bilabial,high,1
4,bale,pail,1,reversed,9,5,2,2,pail,voiceless,bilabial,high,1
