timestamp,id,dist,response,button1,button2,stim1,place,frame,F0_step,VOT_step,trial_type,subjectGroup,word_pair,button1_voice,button2_voice,response_bin,response_num
92156,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,6,GK_ill,voiced,voiceless,voiceless,1
95076,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,6,GK_ill,voiced,voiceless,voiceless,1
96668,5da6b2aca2860400146b8ace,reversed,1,gill,kill,GK_ill_F0_8_VOT_3,GK,ill,8,3,train,6,GK_ill,voiced,voiceless,voiced,0
98068,5da6b2aca2860400146b8ace,reversed,2,kill,gill,GK_ill_F0_7_VOT_2,GK,ill,7,2,train,6,GK_ill,voiceless,voiced,voiced,0
99972,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_9,GK,ill,2,9,train,6,GK_ill,voiceless,voiced,voiceless,1
101244,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,6,GK_ill,voiceless,voiced,voiceless,1
102500,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,6,GK_ill,voiced,voiceless,voiceless,1
103956,5da6b2aca2860400146b8ace,reversed,2,kill,gill,GK_ill_F0_9_VOT_2,GK,ill,9,2,train,6,GK_ill,voiceless,voiced,voiced,0
107340,5da6b2aca2860400146b8ace,reversed,1,gill,kill,GK_ill_F0_8_VOT_3,GK,ill,8,3,train,6,GK_ill,voiced,voiceless,voiced,0
108844,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_7,GK,ill,2,7,train,6,GK_ill,voiceless,voiced,voiceless,1
110028,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,6,GK_ill,voiceless,voiced,voiceless,1
111300,5da6b2aca2860400146b8ace,reversed,2,kill,gill,GK_ill_F0_7_VOT_2,GK,ill,7,2,train,6,GK_ill,voiceless,voiced,voiced,0
112500,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,6,GK_ill,voiceless,voiced,voiceless,1
113972,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_3_VOT_8,GK,ill,3,8,train,6,GK_ill,voiced,voiceless,voiceless,1
115335,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,6,GK_ill,voiceless,voiced,voiceless,1
116612,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_7,GK,ill,2,7,train,6,GK_ill,voiceless,voiced,voiceless,1
117780,5da6b2aca2860400146b8ace,reversed,2,kill,gill,GK_ill_F0_7_VOT_2,GK,ill,7,2,train,6,GK_ill,voiceless,voiced,voiced,0
119140,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_1_VOT_8,GK,ill,1,8,train,6,GK_ill,voiced,voiceless,voiceless,1
120428,5da6b2aca2860400146b8ace,reversed,1,gill,kill,GK_ill_F0_8_VOT_3,GK,ill,8,3,train,6,GK_ill,voiced,voiceless,voiced,0
121812,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_8,GK,ill,2,8,train,6,GK_ill,voiceless,voiced,voiceless,1
124508,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,6,GK_ill,voiced,voiceless,voiceless,1
125828,5da6b2aca2860400146b8ace,reversed,1,gill,kill,GK_ill_F0_8_VOT_2,GK,ill,8,2,train,6,GK_ill,voiced,voiceless,voiced,0
127188,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_3_VOT_8,GK,ill,3,8,train,6,GK_ill,voiced,voiceless,voiceless,1
128724,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,6,GK_ill,voiceless,voiced,voiceless,1
129876,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_9,GK,ill,2,9,train,6,GK_ill,voiceless,voiced,voiceless,1
131004,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_7,GK,ill,2,7,train,6,GK_ill,voiceless,voiced,voiceless,1
132604,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,6,GK_ill,voiced,voiceless,voiceless,1
134036,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_8,GK,ill,2,8,train,6,GK_ill,voiceless,voiced,voiceless,1
136268,5da6b2aca2860400146b8ace,reversed,1,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,6,GK_ill,voiced,voiceless,voiced,0
137548,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_3_VOT_8,GK,ill,3,8,train,6,GK_ill,voiced,voiceless,voiceless,1
138820,5da6b2aca2860400146b8ace,reversed,1,gill,kill,GK_ill_F0_8_VOT_2,GK,ill,8,2,train,6,GK_ill,voiced,voiceless,voiced,0
140036,5da6b2aca2860400146b8ace,reversed,1,gill,kill,GK_ill_F0_8_VOT_2,GK,ill,8,2,train,6,GK_ill,voiced,voiceless,voiced,0
141492,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_8,GK,ill,2,8,train,6,GK_ill,voiceless,voiced,voiceless,1
144420,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,6,GK_ill,voiceless,voiced,voiceless,1
146588,5da6b2aca2860400146b8ace,reversed,2,gill,kill,GK_ill_F0_3_VOT_8,GK,ill,3,8,train,6,GK_ill,voiced,voiceless,voiceless,1
147996,5da6b2aca2860400146b8ace,reversed,2,kill,gill,GK_ill_F0_7_VOT_2,GK,ill,7,2,train,6,GK_ill,voiceless,voiced,voiced,0
149372,5da6b2aca2860400146b8ace,reversed,1,kill,gill,GK_ill_F0_2_VOT_8,GK,ill,2,8,train,6,GK_ill,voiceless,voiced,voiceless,1
