timestamp,id,dist,response,button1,button2,stim1,place,frame,F0_step,VOT_step,trial_type,subjectGroup,word_pair,button1_voice,button2_voice,response_bin,response_num
58363,5702fde2d4cf7f00089471f3,canonical,1,pill,bill,BP_ill_F0_8_VOT_7,BP,ill,8,7,train,5,BP_ill,voiceless,voiced,voiceless,1
59659,5702fde2d4cf7f00089471f3,canonical,1,pill,bill,BP_ill_F0_8_VOT_9,BP,ill,8,9,train,5,BP_ill,voiceless,voiced,voiceless,1
61027,5702fde2d4cf7f00089471f3,canonical,1,till,dill,DT_ill_F0_8_VOT_8,DT,ill,8,8,train,5,DT_ill,voiceless,voiced,voiceless,1
62307,5702fde2d4cf7f00089471f3,canonical,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,5,GK_ill,voiceless,voiced,voiceless,1
63595,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
65548,5702fde2d4cf7f00089471f3,canonical,1,bill,pill,BP_ill_F0_2_VOT_1,BP,ill,2,1,train,5,BP_ill,voiced,voiceless,voiced,0
66981,5702fde2d4cf7f00089471f3,canonical,2,dill,till,DT_ill_F0_7_VOT_8,DT,ill,7,8,train,5,DT_ill,voiced,voiceless,voiceless,1
68283,5702fde2d4cf7f00089471f3,canonical,1,bill,pill,BP_ill_F0_2_VOT_3,BP,ill,2,3,train,5,BP_ill,voiced,voiceless,voiced,0
69430,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
70540,5702fde2d4cf7f00089471f3,canonical,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,5,GK_ill,voiceless,voiced,voiceless,1
71676,5702fde2d4cf7f00089471f3,canonical,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,5,GK_ill,voiceless,voiced,voiceless,1
73022,5702fde2d4cf7f00089471f3,canonical,2,bill,pill,BP_ill_F0_7_VOT_8,BP,ill,7,8,train,5,BP_ill,voiced,voiceless,voiceless,1
74628,5702fde2d4cf7f00089471f3,canonical,1,dill,till,DT_ill_F0_2_VOT_1,DT,ill,2,1,train,5,DT_ill,voiced,voiceless,voiced,0
75939,5702fde2d4cf7f00089471f3,canonical,1,dill,till,DT_ill_F0_2_VOT_3,DT,ill,2,3,train,5,DT_ill,voiced,voiceless,voiced,0
77188,5702fde2d4cf7f00089471f3,canonical,1,pill,bill,BP_ill_F0_8_VOT_8,BP,ill,8,8,train,5,BP_ill,voiceless,voiced,voiceless,1
79014,5702fde2d4cf7f00089471f3,canonical,1,pill,bill,BP_ill_F0_3_VOT_2,BP,ill,3,2,train,5,BP_ill,voiceless,voiced,voiceless,1
80108,5702fde2d4cf7f00089471f3,canonical,1,pill,bill,BP_ill_F0_8_VOT_8,BP,ill,8,8,train,5,BP_ill,voiceless,voiced,voiceless,1
81260,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
82469,5702fde2d4cf7f00089471f3,canonical,1,dill,till,DT_ill_F0_2_VOT_2,DT,ill,2,2,train,5,DT_ill,voiced,voiceless,voiced,0
83565,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
85107,5702fde2d4cf7f00089471f3,canonical,2,till,dill,DT_ill_F0_3_VOT_2,DT,ill,3,2,train,5,DT_ill,voiceless,voiced,voiced,0
86291,5702fde2d4cf7f00089471f3,canonical,1,till,dill,DT_ill_F0_8_VOT_8,DT,ill,8,8,train,5,DT_ill,voiceless,voiced,voiceless,1
87596,5702fde2d4cf7f00089471f3,canonical,2,till,dill,DT_ill_F0_1_VOT_2,DT,ill,1,2,train,5,DT_ill,voiceless,voiced,voiced,0
88619,5702fde2d4cf7f00089471f3,canonical,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,5,GK_ill,voiceless,voiced,voiceless,1
89676,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
90940,5702fde2d4cf7f00089471f3,canonical,2,bill,pill,BP_ill_F0_9_VOT_8,BP,ill,9,8,train,5,BP_ill,voiced,voiceless,voiceless,1
92404,5702fde2d4cf7f00089471f3,canonical,1,dill,till,DT_ill_F0_2_VOT_2,DT,ill,2,2,train,5,DT_ill,voiced,voiceless,voiced,0
94412,5702fde2d4cf7f00089471f3,canonical,2,pill,bill,BP_ill_F0_1_VOT_2,BP,ill,1,2,train,5,BP_ill,voiceless,voiced,voiced,0
95787,5702fde2d4cf7f00089471f3,canonical,1,pill,bill,BP_ill_F0_8_VOT_7,BP,ill,8,7,train,5,BP_ill,voiceless,voiced,voiceless,1
96908,5702fde2d4cf7f00089471f3,canonical,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,5,GK_ill,voiceless,voiced,voiceless,1
97948,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
98876,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
100212,5702fde2d4cf7f00089471f3,canonical,1,till,dill,DT_ill_F0_8_VOT_9,DT,ill,8,9,train,5,DT_ill,voiceless,voiced,voiceless,1
101308,5702fde2d4cf7f00089471f3,canonical,2,dill,till,DT_ill_F0_7_VOT_8,DT,ill,7,8,train,5,DT_ill,voiced,voiceless,voiceless,1
102589,5702fde2d4cf7f00089471f3,canonical,2,till,dill,DT_ill_F0_3_VOT_2,DT,ill,3,2,train,5,DT_ill,voiceless,voiced,voiced,0
103876,5702fde2d4cf7f00089471f3,canonical,2,bill,pill,BP_ill_F0_7_VOT_8,BP,ill,7,8,train,5,BP_ill,voiced,voiceless,voiceless,1
105452,5702fde2d4cf7f00089471f3,canonical,2,pill,bill,BP_ill_F0_1_VOT_2,BP,ill,1,2,train,5,BP_ill,voiceless,voiced,voiced,0
106939,5702fde2d4cf7f00089471f3,canonical,1,bill,pill,BP_ill_F0_2_VOT_2,BP,ill,2,2,train,5,BP_ill,voiced,voiceless,voiced,0
108296,5702fde2d4cf7f00089471f3,canonical,1,pill,bill,BP_ill_F0_8_VOT_7,BP,ill,8,7,train,5,BP_ill,voiceless,voiced,voiceless,1
109524,5702fde2d4cf7f00089471f3,canonical,2,dill,till,DT_ill_F0_9_VOT_8,DT,ill,9,8,train,5,DT_ill,voiced,voiceless,voiceless,1
110668,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
112164,5702fde2d4cf7f00089471f3,canonical,1,bill,pill,BP_ill_F0_2_VOT_2,BP,ill,2,2,train,5,BP_ill,voiced,voiceless,voiced,0
113331,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
114460,5702fde2d4cf7f00089471f3,canonical,1,kill,gill,GK_ill_F0_9_VOT_5,GK,ill,9,5,test,5,GK_ill,voiceless,voiced,voiceless,1
116460,5702fde2d4cf7f00089471f3,canonical,2,pill,bill,BP_ill_F0_3_VOT_2,BP,ill,3,2,train,5,BP_ill,voiceless,voiced,voiced,0
117708,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
118693,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
119996,5702fde2d4cf7f00089471f3,canonical,1,bill,pill,BP_ill_F0_2_VOT_1,BP,ill,2,1,train,5,BP_ill,voiced,voiceless,voiced,0
121204,5702fde2d4cf7f00089471f3,canonical,2,bill,pill,BP_ill_F0_7_VOT_8,BP,ill,7,8,train,5,BP_ill,voiced,voiceless,voiceless,1
122325,5702fde2d4cf7f00089471f3,canonical,2,till,dill,DT_ill_F0_3_VOT_2,DT,ill,3,2,train,5,DT_ill,voiceless,voiced,voiced,0
123444,5702fde2d4cf7f00089471f3,canonical,2,till,dill,DT_ill_F0_1_VOT_2,DT,ill,1,2,train,5,DT_ill,voiceless,voiced,voiced,0
124468,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
125596,5702fde2d4cf7f00089471f3,canonical,1,till,dill,DT_ill_F0_8_VOT_9,DT,ill,8,9,train,5,DT_ill,voiceless,voiced,voiceless,1
126836,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
127780,5702fde2d4cf7f00089471f3,canonical,2,gill,kill,GK_ill_F0_1_VOT_5,GK,ill,1,5,test,5,GK_ill,voiced,voiceless,voiceless,1
128987,5702fde2d4cf7f00089471f3,canonical,1,till,dill,DT_ill_F0_8_VOT_9,DT,ill,8,9,train,5,DT_ill,voiceless,voiced,voiceless,1
130627,5702fde2d4cf7f00089471f3,canonical,2,pill,bill,BP_ill_F0_3_VOT_2,BP,ill,3,2,train,5,BP_ill,voiceless,voiced,voiced,0
